Time (s),Temperature (K),Rate (s-1),Extent
0.000000000000000000e+00,2.930000000000000000e+02,9.118758519787937606e-07,0.000000000000000000e+00
1.800180018001800164e-01,2.930450045004500339e+02,9.164861743154792884e-07,1.641540687630591701e-07
3.600360036003600328e-01,2.930900090009000678e+02,9.211183786741724995e-07,3.291380785408232417e-07
5.400540054005400492e-01,2.931350135013501585e+02,9.257725619211021502e-07,4.949559684911692779e-07
7.200720072007200656e-01,2.931800180018001925e+02,9.304488213191074686e-07,6.616116952096395038e-07
9.000900090009000820e-01,2.932250225022502264e+02,9.351472545292022014e-07,8.291092328008379516e-07
1.080108010801080098e+00,2.932700270027002603e+02,9.398679596120198634e-07,9.974525729501093270e-07
1.260126012601260115e+00,2.933150315031502942e+02,9.446110350293161628e-07,1.166645724995477411e-06
1.440144014401440131e+00,2.933600360036003849e+02,9.493765796454771427e-07,1.336692715999854832e-06
1.620162016201620148e+00,2.934050405040504188e+02,9.541646927290043479e-07,1.507597590823523038e-06
1.800180018001800164e+00,2.934500450045004527e+02,9.589754739540804595e-07,1.679364412196881203e-06
1.980198019801980180e+00,2.934950495049504866e+02,9.638090234020189914e-07,1.851997260793475293e-06
2.160216021602160197e+00,2.935400540054005205e+02,9.686654415628244193e-07,2.025500235303289495e-06
2.340234023402340213e+00,2.935850585058506113e+02,9.735448293367332516e-07,2.199877452506318018e-06
2.520252025202520230e+00,2.936300630063006452e+02,9.784472880356711373e-07,2.375133047346414084e-06
2.700270027002700246e+00,2.936750675067506791e+02,9.833729193848988630e-07,2.551271173005400650e-06
2.880288028802880262e+00,2.937200720072007130e+02,9.883218255244855549e-07,2.728296000977479503e-06
3.060306030603060279e+00,2.937650765076507469e+02,9.932941090108352443e-07,2.906211721143903563e-06
3.240324032403240295e+00,2.938100810081008376e+02,9.982898728183286284e-07,3.085022541847924481e-06
3.420342034203420312e+00,2.938550855085508715e+02,1.003309220340771286e-06,3.264732689970035841e-06
3.600360036003600328e+00,2.939000900090009054e+02,1.008352255393044967e-06,3.445346411003478104e-06
3.780378037803780344e+00,2.939450945094509393e+02,1.013419082212649617e-06,3.626867969130038737e-06
3.960396039603960361e+00,2.939900990099009732e+02,1.018509805461232905e-06,3.809301647296132290e-06
4.140414041404140377e+00,2.940351035103510071e+02,1.023624530226247448e-06,3.992651747289153641e-06
4.320432043204320394e+00,2.940801080108010979e+02,1.028763362022479065e-06,4.176922589814131088e-06
4.500450045004500410e+00,2.941251125112511318e+02,1.033926406793632636e-06,4.362118514570653035e-06
4.680468046804680426e+00,2.941701170117011657e+02,1.039113770913973441e-06,4.548243880330082666e-06
4.860486048604860443e+00,2.942151215121511996e+02,1.044325561189881466e-06,4.735303065013066124e-06
5.040504050405040459e+00,2.942601260126012335e+02,1.049561884861493588e-06,4.923300465767319775e-06
5.220522052205220476e+00,2.943051305130513242e+02,1.054822849604278205e-06,5.112240499045716486e-06
5.400540054005400492e+00,2.943501350135013581e+02,1.060108563530672345e-06,5.302127600684650571e-06
5.580558055805580508e+00,2.943951395139513920e+02,1.065419135191711144e-06,5.492966225982701741e-06
5.760576057605760525e+00,2.944401440144014259e+02,1.070754673578632333e-06,5.684760849779589583e-06
5.940594059405940541e+00,2.944851485148514598e+02,1.076115288124522668e-06,5.877515966535418581e-06
6.120612061206120558e+00,2.945301530153015506e+02,1.081501088705986999e-06,6.071236090410220431e-06
6.300630063006300574e+00,2.945751575157515845e+02,1.086912185644693050e-06,6.265925755343791138e-06
6.480648064806480591e+00,2.946201620162016184e+02,1.092348689709147015e-06,6.461589515135815248e-06
6.660666066606660607e+00,2.946651665166516523e+02,1.097810712116259080e-06,6.658231943526300943e-06
6.840684068406840623e+00,2.947101710171016862e+02,1.103298364533032627e-06,6.855857634276302282e-06
7.020702070207020640e+00,2.947551755175517769e+02,1.108811759078252360e-06,7.054471201248945525e-06
7.200720072007200656e+00,2.948001800180018108e+02,1.114351008324092619e-06,7.254077278490755308e-06
7.380738073807380673e+00,2.948451845184518447e+02,1.119916225297864804e-06,7.454680520313273892e-06
7.560756075607560689e+00,2.948901890189018786e+02,1.125507523483668663e-06,7.656285601374995502e-06
7.740774077407740705e+00,2.949351935193519125e+02,1.131125016824052908e-06,7.858897216763595446e-06
7.920792079207920722e+00,2.949801980198020033e+02,1.136768819721784023e-06,8.062520082078455681e-06
8.100810081008100738e+00,2.950252025202520372e+02,1.142439047041429376e-06,8.267158933513519886e-06
8.280828082808280755e+00,2.950702070207020711e+02,1.148135814111185533e-06,8.472818527940420428e-06
8.460846084608460771e+00,2.951152115211521050e+02,1.153859236724527861e-06,8.679503642991938210e-06
8.640864086408640787e+00,2.951602160216021389e+02,1.159609431141898658e-06,8.887219077145769151e-06
8.820882088208820804e+00,2.952052205220522296e+02,1.165386514092496516e-06,9.095969649808576955e-06
9.000900090009000820e+00,2.952502250225022635e+02,1.171190602775943279e-06,9.305760201400384703e-06
9.180918091809180837e+00,2.952952295229522974e+02,1.177021814864053707e-06,9.516595593439257811e-06
9.360936093609360853e+00,2.953402340234023313e+02,1.182880268502584598e-06,9.728480708626305491e-06
9.540954095409540869e+00,2.953852385238523652e+02,1.188766082312913186e-06,9.941420450931000676e-06
9.720972097209720886e+00,2.954302430243024560e+02,1.194679375393902095e-06,1.015541974567679981e-05
9.900990099009900902e+00,2.954752475247524899e+02,1.200620267323498111e-06,1.037048353962709805e-05
1.008100810081008092e+01,2.955202520252025238e+02,1.206588878160652411e-06,1.058661680107147249e-05
1.026102610261026093e+01,2.955652565256525577e+02,1.212585328447003189e-06,1.080382451991227430e-05
1.044104410441044095e+01,2.956102610261025916e+02,1.218609739208652522e-06,1.102211170775151908e-05
1.062106210621062097e+01,2.956552655265526823e+02,1.224662231957992783e-06,1.124148339797809910e-05
1.080108010801080098e+01,2.957002700270027162e+02,1.230742928695381864e-06,1.146194464585532578e-05
1.098109810981098100e+01,2.957452745274527501e+02,1.236851951911098335e-06,1.168350052860877045e-05
1.116111611161116102e+01,2.957902790279027840e+02,1.242989424587017513e-06,1.190615614551445910e-05
1.134113411341134103e+01,2.958352835283528179e+02,1.249155470198439784e-06,1.212991661798737036e-05
1.152115211521152105e+01,2.958802880288028518e+02,1.255350212715916591e-06,1.235478708967025710e-05
1.170117011701170107e+01,2.959252925292529426e+02,1.261573776607085321e-06,1.258077272652280679e-05
1.188118811881188108e+01,2.959702970297029765e+02,1.267826286838397041e-06,1.280787871691112041e-05
1.206120612061206110e+01,2.960153015301530104e+02,1.274107868877081825e-06,1.303611027169750971e-05
1.224122412241224112e+01,2.960603060306030443e+02,1.280418648692862091e-06,1.326547262433064703e-05
1.242124212421242113e+01,2.961053105310530782e+02,1.286758752759872822e-06,1.349597103093602327e-05
1.260126012601260115e+01,2.961503150315031689e+02,1.293128308058472527e-06,1.372761077040674816e-05
1.278127812781278116e+01,2.961953195319532028e+02,1.299527442077055675e-06,1.396039714449468250e-05
1.296129612961296118e+01,2.962403240324032367e+02,1.305956282814000874e-06,1.419433547790189404e-05
1.314131413141314120e+01,2.962853285328532706e+02,1.312414958779444135e-06,1.442943111837246059e-05
1.332133213321332121e+01,2.963303330333033045e+02,1.318903598997229372e-06,1.466568943678460180e-05
1.350135013501350123e+01,2.963753375337533953e+02,1.325422333006739694e-06,1.490311582724314971e-05
1.368136813681368125e+01,2.964203420342034292e+02,1.331971290864720639e-06,1.514171570717235652e-05
1.386138613861386126e+01,2.964653465346534631e+02,1.338550603147319407e-06,1.538149451740903088e-05
1.404140414041404128e+01,2.965103510351034970e+02,1.345160400951818736e-06,1.562245772229603683e-05
1.422142214221422130e+01,2.965553555355535309e+02,1.351800815898677830e-06,1.586461080977611283e-05
1.440144014401440131e+01,2.966003600360036216e+02,1.358471980133326794e-06,1.610795929148604657e-05
1.458145814581458133e+01,2.966453645364536555e+02,1.365174026328115663e-06,1.635250870285118356e-05
1.476147614761476135e+01,2.966903690369036894e+02,1.371907087684281842e-06,1.659826460318027783e-05
1.494149414941494136e+01,2.967353735373537233e+02,1.378671297933798969e-06,1.684523257576070525e-05
1.512151215121512138e+01,2.967803780378037573e+02,1.385466791341374855e-06,1.709341822795400881e-05
1.530153015301530139e+01,2.968253825382538480e+02,1.392293702706371497e-06,1.734282719129178957e-05
1.548154815481548141e+01,2.968703870387038819e+02,1.399152167364679981e-06,1.759346512157196343e-05
1.566156615661566143e+01,2.969153915391539158e+02,1.406042321190788306e-06,1.784533769895534327e-05
1.584158415841584144e+01,2.969603960396039497e+02,1.412964300599670477e-06,1.809845062806259708e-05
1.602160216021601968e+01,2.970054005400539836e+02,1.419918242548738702e-06,1.835280963807153478e-05
1.620162016201620148e+01,2.970504050405040743e+02,1.426904284539884535e-06,1.860842048281478468e-05
1.638163816381638327e+01,2.970954095409541083e+02,1.433922564621323074e-06,1.886528894087777150e-05
1.656165616561656151e+01,2.971404140414041422e+02,1.440973221389757343e-06,1.912342081569708732e-05
1.674167416741673975e+01,2.971854185418541761e+02,1.448056393992206191e-06,1.938282193565923876e-05
1.692169216921692154e+01,2.972304230423042100e+02,1.455172222128079733e-06,1.964349815419969217e-05
1.710171017101710333e+01,2.972754275427543007e+02,1.462320846051193804e-06,1.990545534990231875e-05
1.728172817281728157e+01,2.973204320432043346e+02,1.469502406571694421e-06,2.016869942659920206e-05
1.746174617461745981e+01,2.973654365436543685e+02,1.476717045058186589e-06,2.043323631347079128e-05
1.764176417641764161e+01,2.974104410441044024e+02,1.483964903439684380e-06,2.069907196514643379e-05
1.782178217821782340e+01,2.974554455445544363e+02,1.491246124207639789e-06,2.096621236180524665e-05
1.800180018001800164e+01,2.975004500450045271e+02,1.498560850418027071e-06,2.123466350927736754e-05
1.818181818181817988e+01,2.975454545454545610e+02,1.505909225693292402e-06,2.150443143914559533e-05
1.836183618361836167e+01,2.975904590459045949e+02,1.513291394224516983e-06,2.177552220884735928e-05
1.854185418541854347e+01,2.976354635463546288e+02,1.520707500773418373e-06,2.204794190177706772e-05
1.872187218721872171e+01,2.976804680468046627e+02,1.528157690674371083e-06,2.232169662738884300e-05
1.890189018901889995e+01,2.977254725472547534e+02,1.535642109836568629e-06,2.259679252129961894e-05
1.908190819081908174e+01,2.977704770477047873e+02,1.543160904745971070e-06,2.287323574539261437e-05
1.926192619261926353e+01,2.978154815481548212e+02,1.550714222467525086e-06,2.315103248792114551e-05
1.944194419441944177e+01,2.978604860486048551e+02,1.558302210647191135e-06,2.343018896361286521e-05
1.962196219621962001e+01,2.979054905490548890e+02,1.565925017513978663e-06,2.371071141377437155e-05
1.980198019801980180e+01,2.979504950495049229e+02,1.573582791882151356e-06,2.399260610639615177e-05
1.998199819981998360e+01,2.979954995499550137e+02,1.581275683153321215e-06,2.427587933625792953e-05
2.016201620162016184e+01,2.980405040504050476e+02,1.589003841318444801e-06,2.456053742503440168e-05
2.034203420342034008e+01,2.980855085508550815e+02,1.596767416960110649e-06,2.484658672140135455e-05
2.052205220522052187e+01,2.981305130513051154e+02,1.604566561254579981e-06,2.513403360114215294e-05
2.070207020702070366e+01,2.981755175517551493e+02,1.612401425973912335e-06,2.542288446725459166e-05
2.088208820882088190e+01,2.982205220522052400e+02,1.620272163488173146e-06,2.571314575005817388e-05
